sku,cost-USD,mpn,price-USD,product_name,description,item_weight,item_weight-unit
RP-4105-40-WH,"LED 4 ft Cloud - 120V 35W  4000K"," $154.00 ",4105-40-WH,
RP-4106-40-WH,"LED 4 ft Cloud - 120V 70W  4000K"," $209.10 ",4106-40-WH,
RP-4116WH,"4ft Stair light 38W 4K 120/277"," $108.10 ",4116WH,
RP-4120WH-20-4K,"2ft LED Vaportite 20W 120/277V"," $49.45 ",4120WH-20-4K,
RP-4217WH,"4ft LED Pris Wrap-35W 4K 120/277"," $111.20 ",4217WH,
RP-4218WH,"4 ft LED Wrap- 75W, 4K 120/277"," $180.55 ",4218WH,
RP-4309WH,"2 ft LED Strip Lt 20W 4K 120/277V"," $37.15 ",4309WH,
RP-4310WH,"4 ft LED Strip Lt 35W 4K 120/277V"," $63.25 ",4310WH,
RP-4311WH,"2ft LED Single Strip 10W 4K 120/277"," $25.80 ",4311WH,
RP-4312WH,"4ft LED SingleStrip 20W 4K 120/277"," $36.10 ",4312WH,
RP-4318-30-BN,"18"" Flush MT LED Acrylic lens 28W"," $84.65 ",4318-30-BN,
RP-4336WH,"11 in Ceiling Mt 15W 3k 90CRI"," $32.05 ",4336WH,
RP-4337WH,"14 in Ceiling Mt 23W 3k 90CRI"," $50.00 ",4337WH,
RP-4338WH,"16 in Ceiling Mt 34W 3k 90CRI"," $57.10 ",4338WH,
RP-4343-30-OB,"16 in SF Ceiling Mt 23W 3k 80CRI"," $24.00 ",4343-30-OB,
RP-4348BN-11-3K,"11in LED CM 15W, 3K"," $30.90 ",4348BN-11-3K,
RP-4348BN-13-3K,"13in LED CM 25W, 3K"," $43.85 ",4348BN-13-3K,
RP-4348WH-11-3K,"11in LED CM 15W, 3K"," $29.90 ",4348WH-11-3K,
RP-4348WH-13-3K,"13in LED CM 25W, 3K"," $42.85 ",4348WH-13-3K,
RP-4350WH-4K-15,"15in LED Ceiling Mt,27.5w 90 4K"," $70.00 ",4350WH-4K-15,
RP-4404-30-BN,"10in LED SCONCEÂ 15W ,3K,DIM Damp Indoor"," $39.15 ",4404-30-BN,
RP-4405BK-E26,"Lantern w/Photo cell 1x9W E26 Wet"," $34.70 ",4405BK-E26,
RP-4407BK-E26,"Outdoor Wall Lantern 1x9W E26 Wet"," $23.75 ",4407BK-E26,
RP-4408BK-E26,"Outdoor Wall Cone light 1x9W E26 Wet"," $41.80 ",4408BK-E26,
RP-4505-30-BN,"12"" Wall MT LED Wall  fixture 12W"," $41.20 ",4505-30-BN,
RP-4902BN-4,"LED Vanity Light- 30W 3K"," $122.40 ",4902BN-4,
RP-49355BN,"Light Bar-LED 5x7W heads 3K"," $116.30 ",49355BN,
RP-49356BN,"Light Bar-LED 6 heads 3K-28W"," $140.75 ",49356BN,
RP-7622WH,"Live End-Feed w/Cord"," $10.90 ",7622WH,
RP-7653WH,"T-Bar Clip"," $3.15 ",7653WH,
RP-7695WH,"Suspension Cable"," $6.75 ",7695WH,
RP-8102HAQ,"6 in IC Airtight Housing - 90W"," $10.90 ",8102HAQ,
RP-8102HRA,"6 in IC Airtight Remodel Housing - 90W"," $11.95 ",8102HRA,
RP-8104HICA,"6 in Shallow IC Airtight Housing"," $11.95 ",8104HICA,
RP-8201HA,"4 in Universal Line Voltage Airtight"," $10.90 ",8201HA,
RP-8201HRA,"4 in Line Voltage Airtight Remodel Hsing"," $10.90 ",8201HRA,
RP-8202HA,"4 in IC Airtight Line Voltage Housing"," $15.00 ",8202HA,
RP-8215HA,"4"" IC Airtight  LED Housing 120/277"," $12.95 ",8215HA,
RP-8505AL,"6 in Lexan Flat Opal Shower (Albalite)"," $6.70 ",8505AL,
RP-8573WH-15-3K,"6in LED Gimbal damp 15W, 3K"," $9.00 ",8573WH-15-3K,
RP-8573WH-20-3K,"6in LED Gimbal damp 20W, 3K"," $9.00 ",8573WH-20-3K,
RP-8586WH,"4 in Reflector w/ white baffle damp- LED"," $22.75 ",8586WH,
RP-8587WH,"4 in reflector-Lens W/baffle-Wet LED"," $25.80 ",8587WH,
RP-8590HZ,"4 in Haze Reflector - LED"," $18.05 ",8590HZ,
RP-8651HZ,"6 in Reflector Haze damp- LED"," $30.60 ",8651HZ,
RP-8652WH,"6 in Reflector w/ white baffle- damp"," $30.60 ",8652WH,
RP-8653WH,"6 in reflector-Lens W/ baffle- wet LED"," $34.70 ",8653WH,
RP-8671HZ,"8 in Haze Reflector- damp LED"," $36.70 ",8671HZ,
RP-8673WH,"8 in reflector-Lens W/ baffle-wet LED"," $32.65 ",8673WH,
RP-8701WH,"4 in Baffle WH - R20/PAR20"," $6.75 ",8701WH,
RP-8769BA-80-3K-D,"4in RecMod Baff dim 10W Damp 3K"," $10.00 ",8769BA-80-3K-D,
RP-8770CL-80-3K,"4in RecMod refl dim 10W Damp 3K 80CRI"," $35.70 ",8770CL-80-3K,
RP-8776WH-90-3K,"4in Rec LED Gimbal 11.5W Wet 3K 90CRI"," $23.75 ",8776WH-90-3K,
RP-8842-1-WH-90-3K,"3in LED wafer 7W, 3K"," $16.50 ",8842-1-WH-90-3K,
RP-RH17,"Single LED EM Wet Loc Remote Head 1W"," $36.10 ",RH17,
RP-RH18,"Double LED EM Wet Loc Remote Head 2 x 1W"," $57.10 ",RH18,
RP-RH21,"Damp- Single Remote Head- 1W LED,6000K"," $7.75 ",RH21,
RP-RH22,"Damp- Double Remote Head- 2W LED,6000K"," $14.50 ",RH22,
