parent_sku,child_sku,color_tempartore,Lens_option
DG-WBB4QF1X25U,DG-WBB4QF1X25U-4K-CZ,4000K,"Clear Polycarbonate Array Lens"
DG-WBB4QF1X25U,DG-WBB4QF1X25U-4K-CB,4000K,"Clear Polycarbonate Array Lens"
DG-WBB4QF1X25U,DG-WBB4QF1X25U-4K-SO-LZ,4000K,"SoftLED LumaLens Opal Polycarbonate Array Lens"
DG-WBB4QF1X25U,DG-WBB4QF1X25U-4K-LB,4000K,"SoftLED LumaLens Opal Polycarbonate Array Lens"
DG-WBB4QF1X25U,DG-WBB4QF1X25U-5K-CZ,5000K,"Clear Polycarbonate Array Lens"
DG-WBB4QF1X25U,DG-WBB4QF1X25U-5K-CS,5000K,"Clear Polycarbonate Array Lens"
DG-WBB4QF1X25U,DG-WBB4QF1X25U-5K-LB,5000K,"SoftLED LumaLens Opal Polycarbonate Array Lens"
DG-WBB4QF1X25U,DG-WBB4QF1X25U-5K-LZ,5000K,"SoftLED LumaLens Opal Polycarbonate Array Lens"
DG-9X9QF1X23U,DG-9X9QF1X23U-4K-S-Z,4000K,"Standard Clear Polycarbonate Prismatic Lens"
DG-9X9QF1X23U,DG-9X9QF1X23U-4K-S-C,4000K,"Standard Clear Polycarbonate Prismatic Lens"
DG-9X9QF1X23U,DG-9X9QF1X23U-4K-L-Z,4000K,"SoftLED LumaLens Opal Polycarbonate Lens"
DG-9X9QF1X23U,DG-9X9QF1X23U-4K-L-C,4000K,"SoftLED LumaLens Opal Polycarbonate Lens"
DG-9X9QF1X23U,DG-9X9QF1X23U-5K-S-Z,5000K,"Standard Clear Polycarbonate Prismatic Lens"
DG-9X9QF1X23U,DG-9X9QF1X23U-5K-S-C,5000K,"Standard Clear Polycarbonate Prismatic Lens"
DG-9X9QF1X23U,DG-9X9QF1X23U-5K-L-Z,5000K,"SoftLED LumaLens Opal Polycarbonate Lens"
DG-9X9QF1X23U,DG-9X9QF1X23U-5K-L-C,5000K,"SoftLED LumaLens Opal Polycarbonate Lens"
ILP-RB3-13L-U,ILP-RB3-13L-U-40,4000K,"Primary Clear Polycarbonate Lens"
ILP-RB3-13L-U,ILP-RB3-13L-U-40-FRL,4000K,"Primary Frosted Polycarbonate Lens"
ILP-RB3-13L-U,ILP-RB3-13L-U-50,5000K,"Primary Clear Polycarbonate Lens"
ILP-RB3-13L-U,ILP-RB3-13L-U-50-FRL,5000K,"Primary Frosted Polycarbonate Lens"
ILP-RB3-19L-U,ILP-RB3-19L-U-40,4000K,"Primary Clear Polycarbonate Lens"
ILP-RB3-19L-U,ILP-RB3-19L-U-40-FRL,4000K,"Primary Frosted Polycarbonate Lens"
ILP-RB3-19L-U,ILP-RB3-19L-U-50,5000K,"Primary Clear Polycarbonate Lens"
ILP-RB3-19L-U,ILP-RB3-19L-U-50-FRL,5000K,"Primary Frosted Polycarbonate Lens"
ILP-RB3-25L-U,ILP-RB3-25L-U-40,4000K,"Primary Clear Polycarbonate Lens"
ILP-RB3-25L-U,ILP-RB3-25L-U-40-FRL,4000K,"Primary Frosted Polycarbonate Lens"
ILP-RB3-25L-U,ILP-RB3-25L-U-50,5000K,"Primary Clear Polycarbonate Lens"
ILP-RB3-25L-U,ILP-RB3-25L-U-50-FRL,5000K,"Primary Frosted Polycarbonate Lens"
ILP-RB3-31L-U,ILP-RB3-31L-U-40,4000K,"Primary Clear Polycarbonate Lens"
ILP-RB3-31L-U,ILP-RB3-31L-U-40-FRL,4000K,"Primary Frosted Polycarbonate Lens"
ILP-RB3-31L-U,ILP-RB3-31L-U-50,5000K,"Primary Clear Polycarbonate Lens"
ILP-RB3-31L-U,ILP-RB3-31L-U-50-FRL,5000K,"Primary Frosted Polycarbonate Lens"
ILP-EDV-12L-U,ILP-EDV-12L-U-30,3000K,"No Lens"
ILP-EDV-12L-U,ILP-EDV-12L-U-30-FRL,3000K,"Frosted Acrylic Lens"
ILP-EDV-12L-U,ILP-EDV-12L-U-35,3500K,"No Lens"
ILP-EDV-12L-U,ILP-EDV-12L-U-35-FRL,3500K,"Frosted Acrylic Lens"
ILP-EDV-12L-U,ILP-EDV-12L-U-40,4000K,"No Lens"
ILP-EDV-12L-U,ILP-EDV-12L-U-40-FRL,4000K,"Frosted Acrylic Lens"
ILP-EDV-12L-U,ILP-EDV-12L-U-50,5000K,"No Lens"
ILP-EDV-12L-U,ILP-EDV-12L-U-50-FRL,5000K,"Frosted Acrylic Lens"
ILP-EDV-18L-U,ILP-EDV-18L-U-30,3000K,"No Lens"
ILP-EDV-18L-U,ILP-EDV-18L-U-30-FRL,3000K,"Frosted Acrylic Lens"
ILP-EDV-18L-U,ILP-EDV-18L-U-35,3500K,"No Lens"
ILP-EDV-18L-U,ILP-EDV-18L-U-35-FRL,3500K,"Frosted Acrylic Lens"
ILP-EDV-18L-U,ILP-EDV-18L-U-40,4000K,"No Lens"
ILP-EDV-18L-U,ILP-EDV-18L-U-40-FRL,4000K,"Frosted Acrylic Lens"
ILP-EDV-18L-U,ILP-EDV-18L-U-50,5000K,"No Lens"
ILP-EDV-18L-U,ILP-EDV-18L-U-50-FRL,5000K,"Frosted Acrylic Lens"
ILP-EDV-24L-U,ILP-EDV-24L-U-30,3000K,"No Lens"
ILP-EDV-24L-U,ILP-EDV-24L-U-30-FRL,3000K,"Frosted Acrylic Lens"
ILP-EDV-24L-U,ILP-EDV-24L-U-35,3500K,"No Lens"
ILP-EDV-24L-U,ILP-EDV-24L-U-35-FRL,3500K,"Frosted Acrylic Lens"
ILP-EDV-24L-U,ILP-EDV-24L-U-40,4000K,"No Lens"
ILP-EDV-24L-U,ILP-EDV-24L-U-40-FRL,4000K,"Frosted Acrylic Lens"
ILP-EDV-24L-U,ILP-EDV-24L-U-50,5000K,"No Lens"
ILP-EDV-24L-U,ILP-EDV-24L-U-50-FRL,5000K,"Frosted Acrylic Lens"
ILP-RB3-13L-U,ILP-RB3-13L-U-40,4000K,"Primary Clear Polycarbonate Lens"
ILP-RB3-13L-U,ILP-RB3-13L-U-40-FRL,4000K,"Primary Frosted Polycarbonate Lens"
ILP-RB3-13L-U,ILP-RB3-13L-U-50,5000K,"Primary Clear Polycarbonate Lens"
ILP-RB3-13L-U,ILP-RB3-13L-U-50-FRL,5000K,"Primary Frosted Polycarbonate Lens"
ILP-RB3-19L-U,ILP-RB3-19L-U-40,4000K,"Primary Clear Polycarbonate Lens"
ILP-RB3-19L-U,ILP-RB3-19L-U-40-FRL,4000K,"Primary Frosted Polycarbonate Lens"
ILP-RB3-19L-U,ILP-RB3-19L-U-50,5000K,"Primary Clear Polycarbonate Lens"
ILP-RB3-19L-U,ILP-RB3-19L-U-50-FRL,5000K,"Primary Frosted Polycarbonate Lens"
ILP-RB3-25L-U,ILP-RB3-25L-U-40,4000K,"Primary Clear Polycarbonate Lens"
ILP-RB3-25L-U,ILP-RB3-25L-U-40-FRL,4000K,"Primary Frosted Polycarbonate Lens"
ILP-RB3-25L-U,ILP-RB3-25L-U-50,5000K,"Primary Clear Polycarbonate Lens"
ILP-RB3-25L-U,ILP-RB3-25L-U-50-FRL,5000K,"Primary Frosted Polycarbonate Lens"
ILP-RB3-31L-U,ILP-RB3-31L-U-40,4000K,"Primary Clear Polycarbonate Lens"
ILP-RB3-31L-U,ILP-RB3-31L-U-40-FRL,4000K,"Primary Frosted Polycarbonate Lens"
ILP-RB3-31L-U,ILP-RB3-31L-U-50,5000K,"Primary Clear Polycarbonate Lens"
ILP-RB3-31L-U,ILP-RB3-31L-U-50-FRL,5000K,"Primary Frosted Polycarbonate Lens"
ILP-EDV-12L-U,ILP-EDV-12L-U-30,3000K,"No Lens"
ILP-EDV-12L-U,ILP-EDV-12L-U-30-FRL,3000K,"Frosted Acrylic Lens"
ILP-EDV-12L-U,ILP-EDV-12L-U-35,3500K,"No Lens"
ILP-EDV-12L-U,ILP-EDV-12L-U-35-FRL,3500K,"Frosted Acrylic Lens"
ILP-EDV-12L-U,ILP-EDV-12L-U-40,4000K,"No Lens"
ILP-EDV-12L-U,ILP-EDV-12L-U-40-FRL,4000K,"Frosted Acrylic Lens"
ILP-EDV-12L-U,ILP-EDV-12L-U-50,5000K,"No Lens"
ILP-EDV-12L-U,ILP-EDV-12L-U-50-FRL,5000K,"Frosted Acrylic Lens"
ILP-EDV-18L-U,ILP-EDV-18L-U-30,3000K,"No Lens"
ILP-EDV-18L-U,ILP-EDV-18L-U-30-FRL,3000K,"Frosted Acrylic Lens"
ILP-EDV-18L-U,ILP-EDV-18L-U-35,3500K,"No Lens"
ILP-EDV-18L-U,ILP-EDV-18L-U-35-FRL,3500K,"Frosted Acrylic Lens"
ILP-EDV-18L-U,ILP-EDV-18L-U-40,4000K,"No Lens"
ILP-EDV-18L-U,ILP-EDV-18L-U-40-FRL,4000K,"Frosted Acrylic Lens"
ILP-EDV-18L-U,ILP-EDV-18L-U-50,5000K,"No Lens"
ILP-EDV-18L-U,ILP-EDV-18L-U-50-FRL,5000K,"Frosted Acrylic Lens"
ILP-EDV-24L-U,ILP-EDV-24L-U-30,3000K,"No Lens"
ILP-EDV-24L-U,ILP-EDV-24L-U-30-FRL,3000K,"Frosted Acrylic Lens"
ILP-EDV-24L-U,ILP-EDV-24L-U-35,3500K,"No Lens"
ILP-EDV-24L-U,ILP-EDV-24L-U-35-FRL,3500K,"Frosted Acrylic Lens"
ILP-EDV-24L-U,ILP-EDV-24L-U-40,4000K,"No Lens"
ILP-EDV-24L-U,ILP-EDV-24L-U-40-FRL,4000K,"Frosted Acrylic Lens"
ILP-EDV-24L-U,ILP-EDV-24L-U-50,5000K,"No Lens"
ILP-EDV-24L-U,ILP-EDV-24L-U-50-FRL,5000K,"Frosted Acrylic Lens"
WM-T8-HL-4FT-DIM-18W,WM-T8-HL-4FT-DIM-18W-40K-C,4000K,Clear
WM-T8-HL-4FT-DIM-18W,WM-T8-HL-4FT-DIM-18W-40K-F,4000K,Frosted
WM-T8-HL-4FT-DIM-18W,WM-T8-HL-4FT-DIM-18W-50K-C,5000K,Clear
WM-T8-HL-4FT-DIM-18W,WM-T8-HL-4FT-DIM-18W-50K-F,5000K,Frosted
WM-T8-4FT-TYPB-2E-18W,WM-T8-4FT-TYPB-2E-18W-40K-C,4000K,Clear
WM-T8-4FT-TYPB-2E-18W,WM-T8-4FT-TYPB-2E-18W-40K-F,4000K,Frosted
WM-T8-4FT-TYPB-2E-18W,WM-T8-4FT-TYPB-2E-18W-50K-C,5000K,Clear
WM-T8-4FT-TYPB-2E-18W,WM-T8-4FT-TYPB-2E-18W--50K-F,5000K,Frosted
ILP-HZB2-12L-U,ILP-HZB2-12L-U-40-CAL,4000K,"Clear Acrylic Lens"
ILP-HZB2-12L-U,ILP-HZB2-12L-U-40-FRAL,4000K,"Frosted Acrylic Lens"
ILP-HZB2-12L-U,ILP-HZB2-12L-U-50-CAL,5000K,"Clear Acrylic Lens"
ILP-HZB2-12L-U,ILP-HZB2-12L-U-50-FRAL,5000K,"Frosted Acrylic Lens"
ILP-HZB2-12L-U,ILP-HZB2-12L-U-30-CAL,3000K,"Clear Acrylic Lens"
ILP-HZB2-12L-U,ILP-HZB2-12L-U-30-FRAL,3000K,"Frosted Acrylic Lens"
ILP-HZB2-12L-U,ILP-HZB2-12L-U-35-CAL,3500K,"Clear Acrylic Lens"
ILP-HZB2-12L-U,ILP-HZB2-12L-U-35-FRAL,3500K,"Frosted Acrylic Lens"
ILP-RZ4-20W-U,ILP-RZ4-20W-U-30,3000K,"No Lens"
ILP-RZ4-20W-U,ILP-RZ4-20W-U-30-FRAL,3000K,"Frosted Acrylic Lens"
ILP-RZ4-20W-U,ILP-RZ4-20W-U-35,3500K,"No Lens"
ILP-RZ4-20W-U,ILP-RZ4-20W-U-35-FRAL,3500K,"Frosted Acrylic Lens"
ILP-RZ4-20W-U,ILP-RZ4-20W-U-40,4000K,"No Lens"
ILP-RZ4-20W-U,ILP-RZ4-20W-U-40-FRAL,4000K,"Frosted Acrylic Lens"
ILP-RZ4-20W-U,ILP-RZ4-20W-U-50,5000K,"No Lens"
ILP-RZ4-20W-U,ILP-RZ4-20W-U-50-FRAL,5000K,"Frosted Acrylic Lens"
ILP-RZ8-40W-U,ILP-RZ8-40W-U-30,3000K,"No Lens"
ILP-RZ8-40W-U,ILP-RZ8-40W-U-30-FRAL,3000K,"Frosted Acrylic Lens"
ILP-RZ8-40W-U,ILP-RZ8-40W-U-35,3500K,"No Lens"
ILP-RZ8-40W-U,ILP-RZ8-40W-U-35-FRAL,3500K,"Frosted Acrylic Lens"
ILP-RZ8-40W-U,ILP-RZ8-40W-U-40,4000K,"No Lens"
ILP-RZ8-40W-U,ILP-RZ8-40W-U-40-FRAL,4000K,"Frosted Acrylic Lens"
ILP-RZ8-40W-U,ILP-RZ8-40W-U-50,5000K,"No Lens"
ILP-RZ8-40W-U,ILP-RZ8-40W-U-50-FRAL,5000K,"Frosted Acrylic Lens"
ILP-RZ4-32W-U,ILP-RZ4-32W-U-30,3000K,"No Lens"
ILP-RZ4-32W-U,ILP-RZ4-32W-U-30-FRAL,3000K,"Frosted Acrylic Lens"
ILP-RZ4-32W-U,ILP-RZ4-32W-U-35,3500K,"No Lens"
ILP-RZ4-32W-U,ILP-RZ4-32W-U-35-FRAL,3500K,"Frosted Acrylic Lens"
ILP-RZ4-32W-U,ILP-RZ4-32W-U-40,4000K,"No Lens"
ILP-RZ4-32W-U,ILP-RZ4-32W-U-40-FRAL,4000K,"Frosted Acrylic Lens"
ILP-RZ4-32W-U,ILP-RZ4-32W-U-50,5000K,"No Lens"
ILP-RZ4-32W-U,ILP-RZ4-32W-U-50-FRAL,5000K,"Frosted Acrylic Lens"
ILP-HZB2-18L-U,ILP-HZB2-18L-U-30-CAL,3000K,"Clear Acrylic Lens"
ILP-HZB2-18L-U,ILP-HZB2-18L-U-30-FRAL,3000K,"Frosted Acrylic Lens"
ILP-HZB2-18L-U,ILP-HZB2-18L-U-35-CAL,3500K,"Clear Acrylic Lens"
ILP-HZB2-18L-U,ILP-HZB2-18L-U-35-FRAL,3500K,"Frosted Acrylic Lens"
ILP-HZB2-18L-U,ILP-HZB2-18L-U-40-CAL,4000K,"Clear Acrylic Lens"
ILP-HZB2-18L-U,ILP-HZB2-18L-U-40-FRAL,4000K,"Frosted Acrylic Lens"
ILP-HZB2-18L-U,ILP-HZB2-18L-U-50-CAL,5000K,"Clear Acrylic Lens"
ILP-HZB2-18L-U,ILP-HZB2-18L-U-50-FRAL,5000K,"Frosted Acrylic Lens"
ILP-RZ8-64W-U,ILP-RZ8-64W-U-30,3000K,"No Lens"
ILP-RZ8-64W-U,ILP-RZ8-64W-U-30-FRAL,3000K,"Frosted Acrylic Lens"
ILP-RZ8-64W-U,ILP-RZ8-64W-U-35,3500K,"No Lens"
ILP-RZ8-64W-U,ILP-RZ8-64W-U-35-FRAL,3500K,"Frosted Acrylic Lens"
ILP-RZ8-64W-U,ILP-RZ8-64W-U-40,4000K,"No Lens"
ILP-RZ8-64W-U,ILP-RZ8-64W-U-40-FRAL,4000K,"Frosted Acrylic Lens"
ILP-RZ8-64W-U,ILP-RZ8-64W-U-50,5000K,"No Lens"
ILP-RZ8-64W-U,ILP-RZ8-64W-U-50-FRAL,5000K,"Frosted Acrylic Lens"
ILP-EDV-15L-U,ILP-EDV-15L-U-30,3000K,"No Lens"
ILP-EDV-15L-U,ILP-EDV-15L-U-30-FRAL,3000K,"Frosted Acrylic Lens"
ILP-EDV-15L-U,ILP-EDV-15L-U-35,3500K,"No Lens"
ILP-EDV-15L-U,ILP-EDV-15L-U-35-FRAL,3500K,"Frosted Acrylic Lens"
ILP-EDV-15L-U,ILP-EDV-15L-U-40,4000K,"No Lens"
ILP-EDV-15L-U,ILP-EDV-15L-U-40-FRAL,4000K,"Frosted Acrylic Lens"
ILP-EDV-15L-U,ILP-EDV-15L-U-50,5000K,"No Lens"
ILP-EDV-15L-U,ILP-EDV-15L-U-50-FRAL,5000K,"Frosted Acrylic Lens"
WM-T8-EZX-TB-4FT-12-18W,WM-T8-EZX-TB-4FT-12-18W-40K-C,4000K,Clear
WM-T8-EZX-TB-4FT-12-18W,WM-T8-EZX-TB-4FT-12-18W-40K-F,4000K,Frosted
WM-T8-EZX-TB-4FT-12-18W,WM-T8-EZX-TB-4FT-12-18W-50K-C,5000K,Clear
WM-T8-EZX-TB-4FT-12-18W,WM-T8-EZX-TB-4FT-12-18W-50K-F,5000K,Frosted
WM-T8-HL-8FT-SPLIT-42W,WM-T8-HL-8FT-SPLIT-42W-40K-C,4000K,Clear
WM-T8-HL-8FT-SPLIT-42W,WM-T8-HL-8FT-SPLIT-42W-40K-F,4000K,Frosted
WM-T8-HL-8FT-SPLIT-42W,WM-T8-HL-8FT-SPLIT-42W-50K-C,5000K,Clear
WM-T8-HL-8FT-SPLIT-42W,WM-T8-HL-8FT-SPLIT-42W-50K-F,5000K,Frosted
WM-T8-EZX-PRO-2FT-10W,WM-T8-EZX-PRO-2FT-10W-40K-C,4000K,Clear
WM-T8-EZX-PRO-2FT-10W,WM-T8-EZX-PRO-2FT-10W-40K-F,4000K,Frosted
WM-T8-EZX-PRO-2FT-10W,WM-T8-EZX-PRO-2FT-10W-50K-C,5000K,Clear
WM-T8-EZX-PRO-2FT-10W,WM-T8-EZX-PRO-2FT-10W-50K-F,5000K,Frosted
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-30K-C,3000K,Clear
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-30K-F,3000K,Frosted
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-35K-C,3500K,Clear
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-35K-F,3500K,Frosted
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-40K-C,4000K,Clear
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-40K-F,4000K,Frosted
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-50K-C,5000K,Clear
WM-T8-EZ6-AHL-4FT-18W,WM-T8-EZ6-AHL-4FT-18W-50K-F,5000K,Frosted
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-30K-C,3000K,Clear
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-30K-F,3000K,Frosted
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-35K-C,3500K,Clear
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-35K-F,3500K,Frosted
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-40K-C,4000K,Clear
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-40K-F,4000K,Frosted
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-50K-C,5000K,Clear
WM-T8-EZ6-GS-2FT-10W,WM-T8-EZ6-GS-2FT-10W-50K-F,5000K,Frosted
WM-T8-EZ6-GS-3FT-12W,WM-T8-EZ6-GS-3FT-12W-40K-C,4000K,Clear
WM-T8-EZ6-GS-3FT-12W,WM-T8-EZ6-GS-3FT-12W-40K-F,4000K,Frosted
WM-T8-EZ6-GS-3FT-12W,WM-T8-EZ6-GS-3FT-12W-50K-C,5000K,Clear
WM-T8-EZ6-GS-3FT-12W,WM-T8-EZ6-GS-3FT-12W-50K-F,5000K,Frosted
WM-T8-HL-8FT-40W,WM-T8-HL-8FT-40W-40K-C,4000K,Clear
WM-T8-HL-8FT-40W,WM-T8-HL-8FT-40W-40K-F,4000K,Frosted
WM-T8-HL-8FT-40W,WM-T8-HL-8FT-50W-40K-C,5000K,Clear
WM-T8-HL-8FT-40W,WM-T8-HL-8FT-50W-40K-F,5000K,Frosted
