parent_sku,child_sku,"Trimplate Options","Color Temperature (CCT)"
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-27K-ECO-SQ,"Square (Snap)",2700K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-27K-ECO-SPWHT,"Silver/White (Snap)",2700K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-27K-ECO-BK,"Black (Snap)",2700K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-27K-ECO-N,"Nickle/Silver (Snap)",2700K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-27K-ECO-BZ,"Bonze/Moca (Snap)",2700K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-30K-ECO-SQ,"Square (Snap)",3000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-30K-ECO-SPWHT,"Silver/White (Snap)",3000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-30K-ECO-BK,"Black (Snap)",3000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-30K-ECO-N,"Nickle/Silver (Snap)",3000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-30K-ECO-BZ,"Bonze/Moca (Snap)",3000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-35K-ECO-SQ,"Square (Snap)",3500K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-35K-ECO-SPWHT,"Silver/White (Snap)",3500K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-35K-ECO-BK,"Black (Snap)",3500K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-35K-ECO-N,"Nickle/Silver (Snap)",3500K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-35K-ECO-BZ,"Bonze/Moca (Snap)",3500K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-40K-ECO-SQ,"Square (Snap)",4000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-40K-ECO-SPWHT,"Silver/White (Snap)",4000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-40K-ECO-BK,"Black (Snap)",4000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-40K-ECO-N,"Nickle/Silver (Snap)",4000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-40K-ECO-BZ,"Bonze/Moca (Snap)",4000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-50K-ECO-SQ,"Square (Snap)",5000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-50K-ECO-SPWHT,"Silver/White (Snap)",5000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-50K-ECO-BK,"Black (Snap)",5000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-50K-ECO-N,"Nickle/Silver (Snap)",5000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-50K-ECO-BZ,"Bonze/Moca (Snap)",5000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-27K-ECO-SQ,"Square (Snap)",2700K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-27K-ECO-SPWHT,"Silver/White (Snap)",2700K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-27K-ECO-BK,"Black (Snap)",2700K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-27K-ECO-N,"Nickle/Silver (Snap)",2700K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-27K-ECO-BZ,"Bonze/Moca (Snap)",2700K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-30K-ECO-SQ,"Square (Snap)",3000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-30K-ECO-SPWHT,"Silver/White (Snap)",3000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-30K-ECO-BK,"Black (Snap)",3000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-30K-ECO-N,"Nickle/Silver (Snap)",3000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-30K-ECO-BZ,"Bonze/Moca (Snap)",3000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-35K-ECO-SQ,"Square (Snap)",3500K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-35K-ECO-SPWHT,"Silver/White (Snap)",3500K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-35K-ECO-BK,"Black (Snap)",3500K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-35K-ECO-N,"Nickle/Silver (Snap)",3500K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-35K-ECO-BZ,"Bonze/Moca (Snap)",3500K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-40K-ECO-SQ,"Square (Snap)",4000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-40K-ECO-SPWHT,"Silver/White (Snap)",4000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-40K-ECO-BK,"Black (Snap)",4000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-40K-ECO-N,"Nickle/Silver (Snap)",4000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-40K-ECO-BZ,"Bonze/Moca (Snap)",4000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-50K-ECO-SQ,"Square (Snap)",5000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-50K-ECO-SPWHT,"Silver/White (Snap)",5000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-50K-ECO-BK,"Black (Snap)",5000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-50K-ECO-N,"Nickle/Silver (Snap)",5000K
BL-BRK-LED4ICN,BL-BRK-LED4ICN-7W-50K-ECO-BZ,"Bonze/Moca (Snap)",5000K
